檔案名稱,PSNR (dB),SSIM,LPIPS,NIQE
A023_C009_0101VU_001_1752113482.png,42.08,0.9556,0.1572,4.2534
A023_C009_0101VU_002_1752113483.png,42.08,0.9558,0.1575,4.2068
A023_C009_0101VU_003_1752113484.png,42.06,0.9542,0.1569,4.2522
A023_C009_0101VU_004_1752113484.png,42.07,0.9548,0.1572,4.2237
A023_C009_0101VU_005_1752113485.png,42.07,0.9544,0.1571,4.2323
A023_C009_0101VU_006_1752113486.png,42.07,0.9540,0.1560,4.2399
A023_C009_0101VU_007_1752113486.png,42.07,0.9526,0.1554,4.2403
A023_C009_0101VU_008_1752113487.png,42.07,0.9544,0.1560,4.2089
A023_C009_0101VU_009_1752113488.png,42.06,0.9528,0.1560,4.2645
A023_C009_0101VU_010_1752113488.png,42.06,0.9531,0.1560,4.2322
A023_C009_0101VU_011_1752113489.png,42.06,0.9527,0.1568,4.2528
A023_C009_0101VU_012_1752113490.png,42.05,0.9533,0.1559,4.2119
A023_C009_0101VU_013_1752113490.png,42.07,0.9528,0.1559,4.2461
A023_C009_0101VU_014_1752113491.png,42.07,0.9558,0.1566,4.2423
A023_C009_0101VU_015_1752113492.png,42.09,0.9557,0.1564,4.2367
A023_C009_0101VU_016_1752113492.png,42.07,0.9550,0.1562,4.2533
A023_C009_0101VU_017_1752113493.png,42.07,0.9544,0.1566,4.2286
A023_C009_0101VU_018_1752113494.png,42.08,0.9542,0.1558,4.2699
A023_C009_0101VU_019_1752113494.png,42.07,0.9559,0.1563,4.2096
A023_C009_0101VU_020_1752113495.png,42.08,0.9554,0.1554,4.2468
A023_C009_0101VU_021_1752113496.png,42.06,0.9535,0.1563,4.2190
A023_C009_0101VU_022_1752113496.png,42.05,0.9533,0.1561,4.2450
A023_C009_0101VU_023_1752113497.png,42.05,0.9520,0.1560,4.2735
A023_C009_0101VU_024_1752113498.png,42.06,0.9540,0.1552,4.2498
A023_C009_0101VU_025_1752113498.png,42.07,0.9550,0.1573,4.2428
A023_C009_0101VU_026_1752113499.png,42.05,0.9535,0.1558,4.2501
A023_C009_0101VU_027_1752113500.png,42.04,0.9528,0.1567,4.2485
A023_C009_0101VU_028_1752113500.png,42.07,0.9559,0.1564,4.2353
A023_C009_0101VU_029_1752113501.png,42.06,0.9543,0.1558,4.2255
A023_C009_0101VU_030_1752113502.png,42.05,0.9535,0.1559,4.2350
A023_C009_0101VU_031_1752113502.png,42.05,0.9544,0.1541,4.2357
A023_C009_0101VU_032_1752113503.png,42.06,0.9523,0.1558,4.2947
A023_C009_0101VU_033_1752113504.png,42.04,0.9521,0.1545,4.2639
A023_C009_0101VU_034_1752113504.png,42.05,0.9530,0.1563,4.2339
A023_C009_0101VU_035_1752113505.png,42.04,0.9528,0.1546,4.2430
A023_C009_0101VU_036_1752113506.png,42.05,0.9539,0.1553,4.2338
A023_C009_0101VU_037_1752113506.png,42.06,0.9543,0.1550,4.2581
A023_C009_0101VU_038_1752113507.png,42.03,0.9541,0.1553,4.2100
A023_C009_0101VU_039_1752113508.png,42.05,0.9537,0.1551,4.2375
A023_C009_0101VU_040_1752113508.png,42.04,0.9544,0.1553,4.2211
A023_C009_0101VU_041_1752113509.png,42.05,0.9548,0.1555,4.2734
A023_C009_0101VU_042_1752113510.png,42.04,0.9545,0.1552,4.2214
A023_C009_0101VU_043_1752113510.png,42.05,0.9551,0.1566,4.2272
A023_C009_0101VU_044_1752113511.png,42.03,0.9545,0.1552,4.2364
A023_C009_0101VU_045_1752113512.png,42.05,0.9554,0.1554,4.2532
A023_C009_0101VU_046_1752113512.png,42.05,0.9544,0.1551,4.2368
A023_C009_0101VU_047_1752113513.png,42.05,0.9541,0.1551,4.2252
A023_C009_0101VU_048_1752113514.png,42.04,0.9529,0.1555,4.2762
A023_C009_0101VU_049_1752113514.png,42.06,0.9551,0.1555,4.2543
A023_C009_0101VU_050_1752113515.png,42.02,0.9546,0.1548,4.2481
A023_C009_0101VU_051_1752113516.png,42.06,0.9547,0.1552,4.2462
A023_C009_0101VU_052_1752113516.png,42.02,0.9535,0.1542,4.2314
A023_C009_0101VU_053_1752113517.png,42.04,0.9537,0.1553,4.2604
A023_C009_0101VU_054_1752113518.png,42.04,0.9541,0.1544,4.2480
A023_C009_0101VU_055_1752113518.png,42.03,0.9550,0.1553,4.2454
A023_C009_0101VU_056_1752113519.png,42.03,0.9534,0.1551,4.2381
A023_C009_0101VU_057_1752113520.png,42.02,0.9537,0.1545,4.2163
A023_C009_0101VU_058_1752113520.png,42.04,0.9536,0.1548,4.2681
A023_C009_0101VU_059_1752113521.png,42.03,0.9544,0.1546,4.2296
A023_C009_0101VU_060_1752113522.png,42.05,0.9531,0.1551,4.2791
平均值,42.05,0.9541,0.1557,4.2420
標準差,0.02,0.0010,0.0008,0.0187
