25-07-10 15:45:48.235 : Model path: model_zoo\dncnn_25.pth
25-07-10 15:45:48.235 : Params number: 555137
25-07-10 15:45:48.236 : model_name:dncnn_25, image sigma:25
25-07-10 15:45:48.236 : testsets\taipei101
25-07-10 15:45:54.266 : A023_C009_0101VU_001_1752113482.png - PSNR: 36.37 dB; SSIM: 0.8678.
25-07-10 15:45:58.705 : A023_C009_0101VU_002_1752113483.png - PSNR: 36.37 dB; SSIM: 0.8682.
25-07-10 15:46:03.161 : A023_C009_0101VU_003_1752113484.png - PSNR: 36.37 dB; SSIM: 0.8681.
25-07-10 15:46:07.875 : A023_C009_0101VU_004_1752113484.png - PSNR: 36.38 dB; SSIM: 0.8685.
25-07-10 15:46:12.426 : A023_C009_0101VU_005_1752113485.png - PSNR: 36.37 dB; SSIM: 0.8684.
25-07-10 15:46:16.908 : A023_C009_0101VU_006_1752113486.png - PSNR: 36.37 dB; SSIM: 0.8680.
25-07-10 15:46:21.456 : A023_C009_0101VU_007_1752113486.png - PSNR: 36.37 dB; SSIM: 0.8678.
25-07-10 15:46:26.074 : A023_C009_0101VU_008_1752113487.png - PSNR: 36.36 dB; SSIM: 0.8679.
25-07-10 15:46:30.587 : A023_C009_0101VU_009_1752113488.png - PSNR: 36.36 dB; SSIM: 0.8683.
25-07-10 15:46:35.258 : A023_C009_0101VU_010_1752113488.png - PSNR: 36.33 dB; SSIM: 0.8673.
25-07-10 15:46:39.902 : A023_C009_0101VU_011_1752113489.png - PSNR: 36.38 dB; SSIM: 0.8686.
25-07-10 15:46:44.481 : A023_C009_0101VU_012_1752113490.png - PSNR: 36.34 dB; SSIM: 0.8673.
25-07-10 15:46:49.126 : A023_C009_0101VU_013_1752113490.png - PSNR: 36.39 dB; SSIM: 0.8688.
25-07-10 15:46:53.781 : A023_C009_0101VU_014_1752113491.png - PSNR: 36.35 dB; SSIM: 0.8679.
25-07-10 15:46:58.406 : A023_C009_0101VU_015_1752113492.png - PSNR: 36.36 dB; SSIM: 0.8683.
25-07-10 15:47:02.997 : A023_C009_0101VU_016_1752113492.png - PSNR: 36.36 dB; SSIM: 0.8682.
25-07-10 15:47:07.453 : A023_C009_0101VU_017_1752113493.png - PSNR: 36.33 dB; SSIM: 0.8677.
25-07-10 15:47:11.894 : A023_C009_0101VU_018_1752113494.png - PSNR: 36.36 dB; SSIM: 0.8685.
25-07-10 15:47:16.437 : A023_C009_0101VU_019_1752113494.png - PSNR: 36.33 dB; SSIM: 0.8674.
25-07-10 15:47:21.105 : A023_C009_0101VU_020_1752113495.png - PSNR: 36.37 dB; SSIM: 0.8683.
25-07-10 15:47:25.978 : A023_C009_0101VU_021_1752113496.png - PSNR: 36.34 dB; SSIM: 0.8677.
25-07-10 15:47:30.444 : A023_C009_0101VU_022_1752113496.png - PSNR: 36.35 dB; SSIM: 0.8680.
25-07-10 15:47:35.056 : A023_C009_0101VU_023_1752113497.png - PSNR: 36.35 dB; SSIM: 0.8682.
25-07-10 15:47:39.505 : A023_C009_0101VU_024_1752113498.png - PSNR: 36.35 dB; SSIM: 0.8679.
25-07-10 15:47:44.096 : A023_C009_0101VU_025_1752113498.png - PSNR: 36.34 dB; SSIM: 0.8679.
25-07-10 15:47:48.706 : A023_C009_0101VU_026_1752113499.png - PSNR: 36.35 dB; SSIM: 0.8683.
25-07-10 15:47:53.317 : A023_C009_0101VU_027_1752113500.png - PSNR: 36.34 dB; SSIM: 0.8681.
25-07-10 15:47:57.879 : A023_C009_0101VU_028_1752113500.png - PSNR: 36.34 dB; SSIM: 0.8679.
25-07-10 15:48:02.522 : A023_C009_0101VU_029_1752113501.png - PSNR: 36.31 dB; SSIM: 0.8671.
25-07-10 15:48:07.020 : A023_C009_0101VU_030_1752113502.png - PSNR: 36.35 dB; SSIM: 0.8682.
25-07-10 15:48:11.581 : A023_C009_0101VU_031_1752113502.png - PSNR: 36.31 dB; SSIM: 0.8671.
25-07-10 15:48:16.134 : A023_C009_0101VU_032_1752113503.png - PSNR: 36.35 dB; SSIM: 0.8679.
25-07-10 15:48:20.771 : A023_C009_0101VU_033_1752113504.png - PSNR: 36.34 dB; SSIM: 0.8676.
25-07-10 15:48:25.275 : A023_C009_0101VU_034_1752113504.png - PSNR: 36.33 dB; SSIM: 0.8674.
25-07-10 15:48:29.900 : A023_C009_0101VU_035_1752113505.png - PSNR: 36.32 dB; SSIM: 0.8673.
